,0.125,0.25,0.375,0.5,0.625,0.75,0.875
2000,937144.067851,768272.870807,913868.108333,858265.491425,858508.255068,843804.04385,1055256.75007
2001,2434490.06894,2485514.75649,2184601.82066,2286774.2741,2318669.61507,2140925.82168,2185347.67425
2002,2563680.39566,2446423.62635,2599568.55088,2705492.88974,2185293.86895,2201842.3086,2158255.3301
2003,4700460.17028,4679110.85218,4983293.3478,4498743.773,4583337.20837,4479855.53191,4527962.84227
2004,4253051.0969,4055516.22542,4209668.39294,4654930.51025,4468007.92926,4457163.19794,4694516.94447
2005,3691162.73958,3523875.65247,3916410.00685,4015127.60661,3787211.68407,4013986.35842,4043403.2479
2006,3579187.89223,3376039.11941,3368013.28343,3402683.28281,4766998.98657,4628118.26015,4706652.45399
2007,3879360.49281,3801711.41151,3788558.13447,3665880.52774,4080321.36324,4057766.39325,4345524.42175
2008,1573182.25456,1530808.06394,1509721.90446,1611357.82327,1595671.69823,1476046.85853,1401795.27871
2009,8545728.79679,8750807.10253,7288495.22906,8148374.73705,8442388.46224,8948954.74211,9849341.56005
