,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0.125,1340321.02737,889841.470061,937144.067851,1402571.18077,1183039.069,1505432.29349,1115590.23444,943443.842021,980957.334019,1060726.7097,648048.051276,1921429.4032,1370134.314,917459.359913,984435.467334,3782300.26648,1192523.02809
0.25,1124909.49142,730631.929609,768272.870807,1431967.58165,1128930.0752,1498594.72052,1063776.60859,900686.502277,925280.389107,1039495.45827,630592.929449,1967539.15524,1330002.80969,919537.765049,967396.513374,3746521.0622,1243544.08395
0.375,1015704.01932,714006.91822,913868.108333,1258605.27964,1199599.9207,1596015.63115,1104210.90089,1001015.37429,923080.74979,1035899.01479,621906.946844,1638753.34024,1166422.58554,909207.805584,923754.811507,3729830.10819,1294636.00782
0.5,835625.178082,771698.562698,858265.491425,1317468.98944,1248479.48159,1440828.32911,1221003.67057,1026246.86122,932582.749821,1002355.80899,663773.642565,1832088.42147,1163143.79953,874286.522438,918498.318376,3802029.69687,1328752.66881
0.625,795709.413584,700722.873965,858508.255068,1335844.56947,1008429.83878,1467921.1751,1171973.66083,967993.24044,1306500.49112,1115674.56868,657312.086139,1898194.3897,1152601.30512,845469.928029,912342.261457,3820246.08668,1309999.73237
0.75,706735.834359,764834.710084,843804.04385,1233442.61355,1016066.23729,1434778.96837,1169129.07523,1025955.16664,1268437.47727,1109507.46108,608035.247567,2012090.61813,1183455.52678,802099.195359,975109.174402,3741968.64859,1264492.14885
0.875,703253.397655,727608.044348,1055256.75007,1259034.98165,995952.707272,1450186.35719,1231387.23817,1033473.90559,1289961.3286,1188187.89043,577448.931868,2214533.35222,1280555.42292,768279.368504,964386.63643,3632930.04962,1278305.67633
